date,amount,category,description
01-01-2023,200.50,Income,Freelance Work
15-01-2023,45.00,Expense,Groceries
20-01-2023,125.65,Income,Salary
25-01-2023,60.00,Expense,Utilities
01-02-2023,200.50,Income,Freelance Work
10-02-2023,80.00,Expense,Transport
20-02-2023,125.65,Income,Salary
28-02-2023,100.00,Expense,Entertainment
01-03-2023,200.50,Income,Freelance Work
15-03-2023,45.00,Expense,Groceries
20-03-2023,125.65,Income,Salary
22-03-2023,150.00,Expense,Shopping
01-04-2023,200.50,Income,Freelance Work
10-04-2023,80.00,Expense,Transport
20-04-2023,125.65,Income,Salary
25-04-2023,60.00,Expense,Utilities
01-05-2023,200.50,Income,Freelance Work
15-05-2023,45.00,Expense,Groceries
20-05-2023,125.65,Income,Salary
28-05-2023,100.00,Expense,Entertainment
01-06-2023,200.50,Income,Freelance Work
10-06-2023,80.00,Expense,Transport
20-06-2023,125.65,Income,Salary
22-06-2023,150.00,Expense,Shopping
01-07-2023,200.50,Income,Freelance Work
15-07-2023,45.00,Expense,Groceries
20-07-2023,125.65,Income,Salary
25-07-2023,60.00,Expense,Utilities
01-08-2023,200.50,Income,Freelance Work
10-08-2023,80.00,Expense,Transport
20-08-2023,125.65,Income,Salary
28-08-2023,100.00,Expense,Entertainment
01-09-2023,200.50,Income,Freelance Work
15-09-2023,45.00,Expense,Groceries
20-09-2023,125.65,Income,Salary
22-09-2023,150.00,Expense,Shopping
01-10-2023,200.50,Income,Freelance Work
10-10-2023,80.00,Expense,Transport
20-10-2023,125.65,Income,Salary
25-10-2023,60.00,Expense,Utilities
01-11-2023,200.50,Income,Freelance Work
15-11-2023,45.00,Expense,Groceries
20-11-2023,125.65,Income,Salary
28-11-2023,100.00,Expense,Entertainment
01-12-2023,200.50,Income,Freelance Work
10-12-2023,80.00,Expense,Transport
20-12-2023,125.65,Income,Salary
21-12-2023,150.00,Expense,Shopping
01-01-2024,200.50,Income,Freelance Work
15-01-2024,45.00,Expense,Groceries
20-01-2024,125.65,Income,Salary
25-01-2024,60.00,Expense,Utilities
01-02-2024,200.50,Income,Freelance Work
10-02-2024,80.00,Expense,Transport
20-02-2024,125.65,Income,Salary
28-02-2024,100.00,Expense,Entertainment
01-03-2024,200.50,Income,Freelance Work
15-03-2024,45.00,Expense,Groceries
20-03-2024,125.65,Income,Salary
22-03-2024,150.00,Expense,Shopping
01-04-2024,200.50,Income,Freelance Work
10-04-2024,80.00,Expense,Transport
20-04-2024,125.65,Income,Salary
25-04-2024,60.00,Expense,Utilities
01-05-2024,200.50,Income,Freelance Work
15-05-2024,45.00,Expense,Groceries
20-05-2024,125.65,Income,Salary
28-05-2024,100.00,Expense,Entertainment
01-06-2024,200.50,Income,Freelance Work
10-06-2024,80.00,Expense,Transport
20-06-2024,125.65,Income,Salary
22-06-2024,150.00,Expense,Shopping
01-07-2024,200.50,Income,Freelance Work
15-07-2024,45.00,Expense,Groceries
20-07-2024,100.00,Expense,Bills
21-07-2024,125.00,Income,Paycheck
25-07-2024,60.00,Expense,Utilities
01-08-2024,200.50,Income,Freelance Work
10-08-2024,80.00,Expense,Transport
20-08-2024,125.65,Income,Salary
28-08-2024,100.00,Expense,Entertainment

